document_id,meeting_id,title,document_type,file_name,file_url,upload_date,doc_date,notes
76,76,Village Council Meeting Minutes - 2015-04-07,Minutes,040715 Workshop Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/040715%20Workshop%20Minutes.pdf,,2015-04-07,
77,77,Village Council Meeting Minutes - 2021-04-07,Minutes,04072021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/04072021%20minutes.pdf,,2021-04-07,
78,78,PZ&DB Meeting Minutes - 2025-04-08,Minutes,04082025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/04082025%20PZDB%20Minutes.pdf,,2025-04-08,
79,79,PZ&DB Meeting Minutes - 2024-04-09,Minutes,04092024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/04092024%20PZDB%20Minutes.pdf,,2024-04-09,
80,80,Village Council Meeting Minutes - 2015-04-10,Minutes,041015 Workshop Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/041015%20Workshop%20Minutes.pdf,,2015-04-10,
81,81,PZ&DB Meeting Minutes - 2023-04-11,Minutes,04112023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/04112023%20PZDB%20Minutes.pdf,,2023-04-11,
82,82,PZ&DB Meeting Minutes - 2022-04-12,Minutes,04122022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/04122022%20PZDB%20Minutes.pdf,,2022-04-12,
83,83,Village Council Meeting Minutes - 2022-04-13,Minutes,04132022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/04132022%20minutes.pdf,,2022-04-13,
84,84,Village Council Meeting Minutes - 2025-04-16,Minutes,04162025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/04162025.pdf,,2025-04-16,
85,85,Village Council Meeting Minutes - 2015-04-17,Minutes,04172015 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/04172015%20minutes.pdf,,2015-04-17,
86,86,Village Council Meeting Minutes - 2024-04-17,Minutes,04172024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04172024%20minutes.pdf,,2024-04-17,
87,87,Village Council Meeting Minutes - 2017-04-19,Minutes,041917 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/041917%20Council%20Meeting%20Approved%20Minutes.pdf,,2017-04-19,
88,88,Village Council Meeting Minutes - 2023-04-19,Minutes,04192023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/04192023%20%20minutes.pdf,,2023-04-19,
89,89,Village Council Meeting Minutes - 2016-04-20,Minutes,042016 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/042016%20Council%20Meeting%20Approved%20Minutes.pdf,,2016-04-20,
90,90,PZ&DB Meeting Minutes - 2021-04-20,Minutes,04202021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/04202021%20PZDB%20Minutes.pdf,,2021-04-20,
91,91,Village Council Meeting Minutes - 2022-04-20,Minutes,04202022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/04202022%20minutes.pdf,,2022-04-20,
92,92,Village Council Meeting Minutes - 2021-04-21,Minutes,04212021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/04212021%20minutes.pdf,,2021-04-21,
93,93,Organizational Meeting Minutes - 2017-04-24,Minutes,042417 Council Organizational Business Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/042417%20Council%20Organizational%20Business%20Meeting%20Approved%20Minutes.pdf,,2017-04-24,
