ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
"Wildcat Run Pickleball- Limited Development Order (LDO2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Road and immediately west of RiverCreek. Applicant is seeking to renovate 1 of the 5 existing tennis courts into 4 new pickl...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,5/14/2024,5/14/2024,2024,Accepted,75,3,Vote,"Wildcat Run Pickleball- Limited Development Order (LDO2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Road and immediately west of RiverCreek. Applicant is seeking to renovate 1 of the 5 existing tennis courts into 4 new pickl...","Wildcat Run Pickleball- Limited Development Order (LDO2024-E002) (District 7) 20300 Country Club Drive, south of Corkscrew Road and immediately west of RiverCreek. Applicant is seeking to renovate 1 of the 5 existing tennis courts into 4 new pickleball co. Action: Approved the Limited Development Order with staff stipulations",Approved the Limited Development Order with staff stipulations,Approved the Limited Development Order with staff stipulations,Approved the Limited Development Order with staff stipulations,,,See minutes,,LDO2024-E002,7,"20300 Country Club Drive, Estero, FL","20300 Country Club Drive, Estero, FL",26.43691061,-81.74953793,1,,20240514 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/05142024%20PZDB%20Minutes.pdf,AgendaItemLocation
Special Exception Riverwoods Plantation Pickleball (SEZ2022-E001) (District 1 20481 Plantation Boulevard located approximately 1 mile west of US 41 and north of Broadway West. Final Action Agenda/Minutes are supplemented by audio and video recordi...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,8/9/2022,8/9/2022,2022,Accepted,15,1,Resolution,Special Exception Riverwoods Plantation Pickleball (SEZ2022-E001) (District 1 20481 Plantation Boulevard located approximately 1 mile west of US 41 and north of Broadway West. Final Action Agenda/Minutes are supplemented by audio and video recordi...,Special Exception Riverwoods Plantation Pickleball (SEZ2022-E001) (District 1 20481 Plantation Boulevard located approximately 1 mile west of US 41 and north of Broadway West. Final Action Agenda/Minutes are supplemented by audio and video recordings of t. Action: Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,,,See minutes,,,1,"20481 Plantation Boulevard, Estero, FL","20481 Plantation Boulevard, Estero, FL",26.44352616,-81.83013136,1,,20220809 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/08092022%20PZDB%20Minutes.pdf,AgendaItemLocation
"Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway....",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,7/25/2023,7/25/2023,2023,Accepted,54,4,Unknown,"Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway....","Villages of Country Creek Limited Development Order - Villages of Country Creek Pickleball Court (LDO2022-E044) (District 4) The court is located at the Clubhouse, 21180 Country Creek Drive, North of Corkscrew Road and west of Three Oaks Parkway. Request . Action: Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities",Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities,Denied the application based on the proximity of the nearest homes and also the proximity of the adjacent amenities,,,,See minutes,,LDO2022-E044,4,"21180 Country Creek Drive, Estero, FL","21180 Country Creek Drive, Estero, FL",26.4330476,-81.79467901,1,,20230725 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07252023%20PZDB%20Minutes.pdf,AgendaItemLocation
"Starbucks - Estero Town Commons - Development Order (DOS2024-E001) (District 4) 21301 Town Commons Drive, ± 1.4-acre vacant parcel on the corner of Corkscrew Road and Town Commons Drive in Estero Town Center Commercial Planned Development (CPD) Al...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,10/29/2024,10/29/2024,2024,Accepted,93,5,Vote,"Starbucks - Estero Town Commons - Development Order (DOS2024-E001) (District 4) 21301 Town Commons Drive, ± 1.4-acre vacant parcel on the corner of Corkscrew Road and Town Commons Drive in Estero Town Center Commercial Planned Development (CPD) Al...","Starbucks - Estero Town Commons - Development Order (DOS2024-E001) (District 4) 21301 Town Commons Drive, ± 1.4-acre vacant parcel on the corner of Corkscrew Road and Town Commons Drive in Estero Town Center Commercial Planned Development (CPD) Also known. Action: Approved the Development Order with staff stipulation and with added landscaping on the North side",Approved the Development Order with staff stipulation and with added landscaping on the North side,Approved the Development Order with staff stipulation and with added landscaping on the North side,Approved the Development Order with staff stipulation and with added landscaping on the North side,,,See minutes,,DOS2024-E001,4,"21301 Town Commons Drive, Estero, FL","21301 Town Commons Drive, Estero, FL",26.43077548,-81.78596719,1,,20241029 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/10292024%20PZDB%20Minutes.pdf,AgendaItemLocation
"Via Coconut - Development Order (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road. Developmen...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,7/11/2023,7/11/2023,2023,Accepted,50,3,Vote,"Via Coconut - Development Order (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road. Developmen...","Via Coconut - Development Order (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road. Development Order . Action: Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the si...","Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the sign must meet the code standards","Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the sign must meet the code standards","Approved Development Order for a mixed-use project with 330 multi- family units and commercial buildings, amenities and supporting infrastructure subject to the staff stipulations, and the monument sign design is approved but the sign must meet the code standards",,,See minutes,,DOS2022-E007,4,"21351 Happy Hollow Lane, Estero, FL","21351 Happy Hollow Lane, Estero, FL",26.4281457,-81.80559258,1,,20230711 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07112023%20%20%20%20PZDB%20Minutes.pdf,AgendaItemLocation
"Via Coconut - Development Order Amendment (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road....",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,4/8/2025,4/8/2025,2025,Accepted,107,1,Vote,"Via Coconut - Development Order Amendment (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road....","Via Coconut - Development Order Amendment (DOS2022-E007) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point Road. No ex pa. Action: Approved Development Order Amendment with the stipulations provided by staff",Approved Development Order Amendment with the stipulations provided by staff,Approved Development Order Amendment with the stipulations provided by staff,Approved Development Order Amendment with the stipulations provided by staff,,,See minutes,,DOS2022-E007,4,"21351 Happy Hollow Lane, Estero, FL","21351 Happy Hollow Lane, Estero, FL",26.4281457,-81.80559258,1,,20250408 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/04082005%20PZDB%20Minutes.pdf,AgendaItemLocation
"Via Coconut - Zoning Amendment (DCI2024-E004) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located on 20-acres, south of Corkscrew Road and west of Via Coconut Point Road...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,7/9/2024,7/9/2024,2024,Accepted,83,1,Unknown,"Via Coconut - Zoning Amendment (DCI2024-E004) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located on 20-acres, south of Corkscrew Road and west of Via Coconut Point Road...","Via Coconut - Zoning Amendment (DCI2024-E004) (District 4) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located on 20-acres, south of Corkscrew Road and west of Via Coconut Point Road. Via Co. Action: Recommended approval by Council of the Zoning Amendment with staff recommendations",Recommended approval by Council of the Zoning Amendment with staff recommendations,Recommended approval by Council of the Zoning Amendment with staff recommendations,,,,See minutes,,DCI2024-E004,4,"21351 Happy Hollow Lane, Estero, FL","21351 Happy Hollow Lane, Estero, FL",26.4281457,-81.80559258,1,,20240709 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/07092024%20PZDB%20Minutes.pdf,AgendaItemLocation
"Genova Townhomes and Villas Development Order (DOS2023-E012) (District 4) 21471, 21510 and 21520 Strada Nuova Circle, located southeast of the Corkscrew Road and Via Coconut Intersection. The Development Order is for the last phase of the Genova E...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,1/14/2025,1/14/2025,2025,Accepted,99,1,Vote,"Genova Townhomes and Villas Development Order (DOS2023-E012) (District 4) 21471, 21510 and 21520 Strada Nuova Circle, located southeast of the Corkscrew Road and Via Coconut Intersection. The Development Order is for the last phase of the Genova E...","Genova Townhomes and Villas Development Order (DOS2023-E012) (District 4) 21471, 21510 and 21520 Strada Nuova Circle, located southeast of the Corkscrew Road and Via Coconut Intersection. The Development Order is for the last phase of the Genova Estero Pl. Action: Approved Development Order with the staff conditions",Approved Development Order with the staff conditions,Approved Development Order with the staff conditions,Approved Development Order with the staff conditions,,,See minutes,,DOS2023-E012,4,"21510 and 21520 Strada Nuova Circle, Estero, FL","21510 and 21520 Strada Nuova Circle, Estero, FL",26.43075088,-81.80320818,1,,20250114 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/01142025%20PZDB%20Minutes.pdf,AgendaItemLocation
"Genova Gate Access Modification - Zoning Amendment (DCI2023-E001) (District 4) 21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Applicant seeks approval of a Zoning Amendment to eliminate a condition requiring th...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,7/25/2023,7/25/2023,2023,Accepted,52,2,Vote,"Genova Gate Access Modification - Zoning Amendment (DCI2023-E001) (District 4) 21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Applicant seeks approval of a Zoning Amendment to eliminate a condition requiring th...","Genova Gate Access Modification - Zoning Amendment (DCI2023-E001) (District 4) 21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Applicant seeks approval of a Zoning Amendment to eliminate a condition requiring the existi. Action: Approved the installation of the remote operated gates with staff recommendations",Approved the installation of the remote operated gates with staff recommendations,Approved the installation of the remote operated gates with staff recommendations,Approved the installation of the remote operated gates with staff recommendations,,,See minutes,,DCI2023-E001,4,"21530 Strada Nuova Circle, Estero, FL","21530 Strada Nuova Circle, Estero, FL",26.42985221,-81.80432985,1,,20230725 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07252023%20PZDB%20Minutes.pdf,AgendaItemLocation
"Monument Sign - River of Life Assembly of God (Permit Pending) (District 5) Located at 21580 River Ranch Road, north of Block Lane and on the west side of River Ranch No ex parte communication or conflicts of interest were noted",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,6/14/2022,6/14/2022,2022,Accepted,8,1,Vote,"Monument Sign - River of Life Assembly of God (Permit Pending) (District 5) Located at 21580 River Ranch Road, north of Block Lane and on the west side of River Ranch No ex parte communication or conflicts of interest were noted","Monument Sign - River of Life Assembly of God (Permit Pending) (District 5) Located at 21580 River Ranch Road, north of Block Lane and on the west side of River Ranch No ex parte communication or conflicts of interest were noted. Action: Approved the Monument Sign - River of Life Assembly of God",Approved the Monument Sign - River of Life Assembly of God,Approved the Monument Sign - River of Life Assembly of God,Approved the Monument Sign - River of Life Assembly of God,,,See minutes,,,5,"21580 River Ranch Road, Estero, FL","21580 River Ranch Road, Estero, FL",26.42660142,-81.79515736,1,,20220614 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/06142022%20PZDB%20Minutes.pdf,AgendaItemLocation
Milan Villas Development Order (DO2022-E005) (District 5) 21750 Three Oaks Parkway located at the northwest corner of Williams Road and Three Oaks Parkway Applicant seeks to develop a residential single-family subdivision on ±10 acres. Ordinance 2...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,12/13/2022,12/13/2022,2022,Accepted,34,2,Vote,Milan Villas Development Order (DO2022-E005) (District 5) 21750 Three Oaks Parkway located at the northwest corner of Williams Road and Three Oaks Parkway Applicant seeks to develop a residential single-family subdivision on ±10 acres. Ordinance 2...,Milan Villas Development Order (DO2022-E005) (District 5) 21750 Three Oaks Parkway located at the northwest corner of Williams Road and Three Oaks Parkway Applicant seeks to develop a residential single-family subdivision on ±10 acres. Ordinance 2022-11 a. Action: Approved the Development Order with staff changes and the monument sign,Approved the Development Order with staff changes and the monument sign,Approved the Development Order with staff changes and the monument sign,Approved the Development Order with staff changes and the monument sign,,,See minutes,,DO2022-E005,5,"21750 Three Oaks Parkway, Estero, FL","21750 Three Oaks Parkway, Estero, FL",26.42267102,-81.78902701,1,,20221213 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/12132022%20%20PZDB%20Minutes.pdf,AgendaItemLocation
Rezoning - Milan Villas (DCI2021-E005) (District 5) 21750 Three Oaks Parkway - 10 acres located at the northwest corner of Williams Road and Three Oaks Parkway. Applicant seeks rezoning of the property from Commercial Planned Development to Reside...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,8/9/2022,8/9/2022,2022,Accepted,17,3,Unknown,Rezoning - Milan Villas (DCI2021-E005) (District 5) 21750 Three Oaks Parkway - 10 acres located at the northwest corner of Williams Road and Three Oaks Parkway. Applicant seeks rezoning of the property from Commercial Planned Development to Reside...,"Rezoning - Milan Villas (DCI2021-E005) (District 5) 21750 Three Oaks Parkway - 10 acres located at the northwest corner of Williams Road and Three Oaks Parkway. Applicant seeks rezoning of the property from Commercial Planned Development to Residential Pl. Action: Recommended to the Council to approve of the rezoning subject to revised conditions 6,7, and","Recommended to the Council to approve of the rezoning subject to revised conditions 6,7, and","Recommended to the Council to approve of the rezoning subject to revised conditions 6,7, and",,,,,,DCI2021-E005,5,"21750 Three Oaks Parkway, Estero, FL","21750 Three Oaks Parkway, Estero, FL",26.42267102,-81.78902701,1,,20220809 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/08092022%20PZDB%20Minutes.pdf,AgendaItemLocation
"Coconut Point Ford Expansion - Development Order (DOS2023-E004) (District 1) 22600 & 22604 S. Tamiami Trail, located on the west side of US 41 and south of Galloway Ford Road. Currently the property is used for Coconut Point Pre-Owned vehicle sale...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,9/12/2023,9/12/2023,2023,Accepted,60,3,Vote,"Coconut Point Ford Expansion - Development Order (DOS2023-E004) (District 1) 22600 & 22604 S. Tamiami Trail, located on the west side of US 41 and south of Galloway Ford Road. Currently the property is used for Coconut Point Pre-Owned vehicle sale...","Coconut Point Ford Expansion - Development Order (DOS2023-E004) (District 1) 22600 & 22604 S. Tamiami Trail, located on the west side of US 41 and south of Galloway Ford Road. Currently the property is used for Coconut Point Pre-Owned vehicle sales. Appli. Action: Approved the addition of 18 vehicle service bays, 14 parking spaces and related infrastructure with staff conditions","Approved the addition of 18 vehicle service bays, 14 parking spaces and related infrastructure with staff conditions","Approved the addition of 18 vehicle service bays, 14 parking spaces and related infrastructure with staff conditions","Approved the addition of 18 vehicle service bays, 14 parking spaces and related infrastructure with staff conditions",,,See minutes,,DOS2023-E004,1,"22604 S. Tamiami Trail, Estero, FL","22604 S. Tamiami Trail, Estero, FL",26.41189524,-81.81299808,1,,20230912 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/09122023%20PZDB%20Minutes.pdf,AgendaItemLocation
"Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Appli...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,9/12/2023,9/12/2023,2023,Accepted,61,4,Vote,"Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Appli...","Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Applicant see. Action: Approved to continue the meeting past 9:00 pm until 9:30 pm",Approved to continue the meeting past 9:00 pm until 9:30 pm,Approved to continue the meeting past 9:00 pm until 9:30 pm,Approved to continue the meeting past 9:00 pm until 9:30 pm,,,See minutes,,DOS2022-E015,1,"22770 S. Tamiami Trail, Estero, FL","22770 S. Tamiami Trail, Estero, FL",26.41060732,-81.81283086,1,,20230912 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/09122023%20PZDB%20Minutes.pdf,AgendaItemLocation
"Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Appli...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,9/12/2023,9/12/2023,2023,Accepted,62,5,Vote,"Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Appli...","Abbiati Dental Office Building - Development Order (DOS2022-E015) (District 1) 22770 S. Tamiami Trail, west of US 41 and south of Fountain Lakes' entrance. The site is a1.45-acre undeveloped parcel directly south of Fountain Lakes Boulevard. Applicant see. Action: Approved the Development Order with staff conditions",Approved the Development Order with staff conditions,Approved the Development Order with staff conditions,Approved the Development Order with staff conditions,,,See minutes,,DOS2022-E015,1,"22770 S. Tamiami Trail, Estero, FL","22770 S. Tamiami Trail, Estero, FL",26.41060732,-81.81283086,1,,20230912 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/09122023%20PZDB%20Minutes.pdf,AgendaItemLocation
"Marketplace Development Order (District 6) (DOS2022-E001) 8001 Via Rapallo Drive, located east of US 41, north of Sweetwater Ranch Blvd. and south of Via Rapallo Dr. Development Order for the construction of a mixed-use commercial development, con...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,11/8/2022,11/8/2022,2022,Accepted,29,2,Vote,"Marketplace Development Order (District 6) (DOS2022-E001) 8001 Via Rapallo Drive, located east of US 41, north of Sweetwater Ranch Blvd. and south of Via Rapallo Dr. Development Order for the construction of a mixed-use commercial development, con...","Marketplace Development Order (District 6) (DOS2022-E001) 8001 Via Rapallo Drive, located east of US 41, north of Sweetwater Ranch Blvd. and south of Via Rapallo Dr. Development Order for the construction of a mixed-use commercial development, consisting . Action: MOTION FAILED WAS TO LACK OF MOTION BEING SECONDED",MOTION FAILED WAS TO LACK OF MOTION BEING SECONDED,MOTION FAILED WAS TO LACK OF MOTION BEING SECONDED,MOTION FAILED WAS TO LACK OF MOTION BEING SECONDED,,,Detected,,DOS2022-E001,6,"22800 Via Villagio, Estero, FL","22800 Via Villagio, Estero, FL",26.41258805,-81.81135598,1,,20221108 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/11082022%20PZDB%20Minutes.pdf,AgendaItemLocation
